Nimi;Name;longitude;latitude
Töyrynummi;Töyrynummi;24.99299022;60.26714677
Kotinummentie;Kotinummentie;25.01357237;60.2675063
Porvarintie;Porvarintie;25.03265533;60.27189034
Helluntairaitti;Helluntairaitti;25.0368876;60.2632143
Tapanilan asema;Tapanila railway station;25.02812397;60.26330395
Saniaiskuja;Saniaiskuja;25.02909058;60.25909157
Halmetie;Halmetie;25.01765775;60.26090681
Laulurastaantie;Laulurastaantie;25.00331024;60.26088465
Vanha Tapanilantie;Vanha Tapanilantie;24.98975388;60.25969904
Syystie;Syystie;24.99860558;60.25667117
Malmin sairaala;Malmi Hospital;25.00282802;60.25415862
Malmin asema;Malmi railway station;25.00912157;60.25232553
Huhtakuja;Huhtakuja;25.01310802;60.25756333
Teerisuontie;Teerisuontie;25.02149008;60.25339409
Ala-Malmin tori;Ala-Malmin tori;25.01323714;60.25030635
Väärämäentie;Väärämäentie;25.0297267;60.24269283
Karviaistie;Karviaistie;25.00786044;60.2468453
Tilketori;Tilketori;25.00399305;60.24982656
Karhusuontie;Karhusuontie;24.98706493;60.25177958
Jokipellontie;Jokipellontie;24.98332148;60.24521779
Pukinmäen liikuntapuisto;Pukinmäki sports park;24.99172391;60.24773234
Pukinmäen asema;Pukinmäki railway station;24.99399523;60.24308645
Rapakiventie;Rapakiventie;25.00136762;60.23931968
Tollinpolku;Tollinpolku;24.86771102;60.24590853
Mikkolantie;Mikkolantie;24.97154425;60.23556664
Etupellonpuisto;Etupellonpuisto;24.95944937;60.24198627
Piikintie;Piikintie;24.95814404;60.24885591
Torpparinmäentie;Torpparinmäentie;24.94476827;60.25688071
Paloheinän kirjasto;Paloheinän kirjasto;24.94166821;60.24950971
Paloheinän maja;Paloheinän maja;24.91830089;60.25523561
Paloheinäntie;Paloheinäntie;24.92385807;60.24699181
Pirkkolan liikuntapuisto;Pirkkolan liikuntapuisto;24.90975085;60.2327348
Maununneva;Maununneva;24.89899983;60.24440858
Ulappasilta;Ulappasilta;25.14104587;60.20661604
